City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,2,Mar Del Plata,AR,80.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
1,8,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
2,10,Rikitea,PF,78.46,overcast clouds,-23.1203,-134.9692,People ThankYou
3,12,Alofi,NU,78.69,shower rain,-19.0595,-169.9187,Taloa Heights
4,17,Jizan,SA,77.94,few clouds,17.3333,42.6667,شهدان. ابوالحجر
5,19,Moindou,NC,82.35,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
6,23,Butaritari,KI,81.73,light rain,3.0707,172.7902,Isles Sunset Lodge
8,28,Gigmoto,PH,76.93,overcast clouds,13.7796,124.39,Cj's Travellers Inn
9,30,Atuona,PF,77.59,light rain,-9.8,-139.0333,Villa Enata
10,31,Hithadhoo,MV,81.75,broken clouds,-0.6,73.0833,Scoop Guest House
11,38,Bengkulu,ID,76.28,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
12,43,Morant Bay,JM,80.22,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
13,44,Saint-Philippe,RE,80.19,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
14,45,Faanui,PF,81.01,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,49,Kapaa,US,81.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,53,Chokwe,MZ,78.4,clear sky,-24.5333,32.9833,Complexo Sonho Real
17,54,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
18,60,Byron Bay,AU,77.05,overcast clouds,-28.65,153.6167,Backpackers Inn
19,77,Zemio,CF,80.55,overcast clouds,5.0314,25.1361,OCHA Office
20,84,San Buenaventura,MX,83.32,scattered clouds,27.0833,-101.5333,Hotel Gran Plaza
21,85,Ikot Ekpene,NG,79.18,clear sky,5.1794,7.7108,Prespter Royal Dutch
22,86,Lodwar,KE,86.97,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
23,87,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
24,88,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
25,89,Sokoni,TZ,80.98,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
26,91,Sao Joao Da Barra,BR,75.25,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
27,101,Port Lavaca,US,75.52,broken clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
28,102,The Valley,AI,78.94,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
29,110,Padang,ID,76.91,broken clouds,-0.9492,100.3543,Mercure Padang
30,112,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
31,115,Manggar,ID,78.39,overcast clouds,-2.8833,108.2667,Guest Hotel
32,119,Treinta Y Tres,UY,80.85,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
33,127,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
34,131,Matamoros,MX,84.31,broken clouds,25.5333,-103.25,Quinta Belem
35,135,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
36,136,Labuhan,ID,77.63,overcast clouds,-6.8844,112.2051,DoubleFAG
37,139,Kavieng,PG,78.42,light rain,-2.5744,150.7967,Nusa Island Retreat
38,141,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
39,144,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
40,145,Santa Maria,BR,88.9,clear sky,-29.6842,-53.8069,Hotel Morotin
41,147,Tinaquillo,VE,82.11,overcast clouds,9.9186,-68.3047,Hotel Los Copihues
43,151,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
44,158,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Lindsey Hôtel
45,161,Charters Towers,AU,80.33,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
46,166,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,168,Paita,PE,81.16,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
48,173,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,176,Meulaboh,ID,76.08,broken clouds,4.1363,96.1285,Kost Pria
50,181,Tres Arroyos,AR,86.52,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
51,182,Tomatlan,MX,82.85,clear sky,19.9333,-105.25,El Salvial
52,185,Porto Nacional,BR,77.0,broken clouds,-10.7081,-48.4172,Vila Real Hotel
53,187,Pocone,BR,79.02,overcast clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
54,188,Leticia,CO,75.25,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
55,193,Saint-Joseph,RE,79.18,heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
56,197,Tigre,AR,88.25,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
57,201,Vallenar,CL,78.15,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
58,203,Santa Cruz,BO,87.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
59,205,Black River,JM,80.98,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
60,206,Sao Joao Batista,BR,80.51,few clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
61,214,Kathu,TH,78.62,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
62,215,Sao Lourenco Do Oeste,BR,83.71,few clouds,-26.3592,-52.8511,Poente Hotel
63,218,Toamasina,MG,77.0,scattered clouds,-18.1667,49.3833,Hotel H1
65,220,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
66,227,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
67,230,Lorengau,PG,79.75,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
68,239,Chimore,BO,77.45,overcast clouds,-16.9833,-65.1333,Bichito
69,247,Fare,PF,81.09,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
70,248,Bonthe,SL,78.51,few clouds,7.5264,-12.505,Bonthe Holiday Village
71,256,Curaca,BR,89.6,overcast clouds,-8.9903,-39.9094,Hotel Recanto Campestre
72,257,Francisco Beltrao,BR,77.63,few clouds,-26.0811,-53.055,Cristal Palace Hotel
73,258,Sechura,PE,80.8,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
74,259,Caravelas,BR,78.42,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
75,260,Girau Do Ponciano,BR,79.29,scattered clouds,-9.8842,-36.8289,Classic Motel
76,271,Moron,AR,88.0,broken clouds,-34.6534,-58.6198,Hotel Morón
77,274,Souillac,MU,79.36,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
78,275,Makakilo City,US,79.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
79,282,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
80,285,Barra,BR,80.11,scattered clouds,-11.0894,-43.1417,Motel Albatroz
81,286,Gladstone,AU,76.78,scattered clouds,-23.85,151.25,Highpoint International Hotel
82,290,Mabaruma,GY,75.6,few clouds,8.2,-59.7833,Monty Brooms Guest House
83,293,Cidreira,BR,75.97,clear sky,-30.1811,-50.2056,Hotel Castelo
85,301,Nhulunbuy,AU,83.01,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
86,304,Neuquen,AR,89.49,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
88,325,Mount Isa,AU,80.37,moderate rain,-20.7333,139.5,ibis Styles Mt Isa Verona
89,328,Cabo San Lucas,MX,76.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
90,332,Trinidad,BO,84.18,few clouds,-14.8333,-64.9,Hotel Piesta
91,335,Itarema,BR,79.88,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
92,338,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
93,343,San-Pedro,CI,79.34,overcast clouds,4.7485,-6.6363,Hotel Maria
94,345,Mahebourg,MU,79.25,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
95,347,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Pirineos
96,352,Harper,LR,79.2,broken clouds,4.375,-7.7169,Screensaver
97,353,Samarai,PG,80.47,overcast clouds,-10.6167,150.6667,Nuli Sapi
98,355,El Alto,PE,78.46,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
99,371,Kavaratti,IN,79.52,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
100,378,Rio Grande,BR,75.15,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
101,380,Piacabucu,BR,80.26,few clouds,-10.4056,-36.4344,Piaçabuçu News
102,382,Kimbe,PG,75.49,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
103,388,Lagos De Moreno,MX,79.29,clear sky,21.35,-101.9167,Scala Hotel
104,389,Inhambane,MZ,76.39,few clouds,-23.865,35.3833,Oceano
105,402,Sao Gabriel Da Cachoeira,BR,75.56,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
106,403,Ballina,AU,75.16,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
107,405,Paso De Los Toros,UY,89.94,scattered clouds,-32.8167,-56.5167,Complejo Isabelino
108,410,Karratha,AU,81.25,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
109,413,Bubaque,GW,77.97,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
110,416,Cairns,AU,86.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
111,418,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
112,423,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
113,424,Ponnani,IN,79.92,clear sky,10.767,75.9252,Rouba Residency
114,426,Vao,NC,77.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
115,427,Mareeba,AU,81.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
116,428,Vung Tau,VN,76.86,few clouds,10.346,107.0843,Seaside Resort
118,439,Kieta,PG,82.11,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
119,448,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
120,450,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
121,458,Comodoro Rivadavia,AR,80.46,clear sky,-45.8667,-67.5,Austral Hotel
122,466,Rawson,AR,75.29,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
123,471,Kilifi,KE,80.98,overcast clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
124,475,Carutapera,BR,76.12,overcast clouds,-1.195,-46.02,Lidera
125,477,Kandrian,PG,78.39,overcast clouds,-6.2167,149.55,Kandrian Station
126,478,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
127,480,Puerto Suarez,BO,80.1,overcast clouds,-18.95,-57.8,Hotel casa real
128,484,Nsawam,GH,82.45,clear sky,5.8089,-0.3503,Duapa Lodge
129,486,Maumere,ID,78.55,broken clouds,-8.6199,122.2111,Sylvia Hotel
130,490,Coari,BR,78.64,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
132,500,Nisia Floresta,BR,83.21,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
133,501,Kudahuvadhoo,MV,80.85,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
134,505,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
135,509,South Venice,US,79.11,haze,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
136,510,Mackay,AU,84.69,scattered clouds,-21.15,149.2,International Lodge Motel
137,515,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
139,526,Gemena,CD,79.88,overcast clouds,3.25,19.7667,Hôtel Goshen
140,532,Picui,BR,79.5,scattered clouds,-6.5106,-36.3469,Pousada Seridó Gold
142,542,Nauta,PE,82.35,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
143,543,Banda Aceh,ID,76.89,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
144,544,Sao Filipe,CV,75.78,clear sky,14.8961,-24.4956,Hotel Xaguate
145,545,Jalingo,NG,75.36,clear sky,8.8833,11.3667,Debright Motel
146,551,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
147,563,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
148,564,Osmena,PH,79.5,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
149,565,Sinnamary,GF,78.49,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
151,575,Dakar,SN,79.68,broken clouds,14.6937,-17.4441,Novotel Dakar
152,576,Vaitape,PF,81.03,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
154,580,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
155,583,Montanha,BR,76.1,light rain,-18.1269,-40.3633,Hotel Boldrini
156,584,Maragogi,BR,80.35,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
157,586,Lae,PG,77.67,overcast clouds,-6.7221,146.9847,Phils Hotel
158,592,San Patricio,US,79.48,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
159,594,Warri,NG,78.93,clear sky,5.5167,5.75,BON Hotel Delta
160,595,Richards Bay,ZA,77.34,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
161,596,Pontes E Lacerda,BR,78.57,broken clouds,-15.2261,-59.3353,Hotel Bressan
162,597,Anchovy,JM,78.03,scattered clouds,18.4103,-77.9317,Syrynity Palace
163,598,Celestun,MX,81.5,clear sky,20.8667,-90.4,Posada Lilia
164,601,Edgewater,US,76.12,few clouds,28.9889,-80.9023,Islander Beach Resort
165,604,Huarmey,PE,75.13,broken clouds,-10.0681,-78.1522,Hotel Miramar
166,607,Uribia,CO,87.76,clear sky,11.7139,-72.266,Hotel Uribia
167,608,Boaco,NI,87.64,clear sky,12.4722,-85.6586,Posada El Bailante
168,609,Nieuw Amsterdam,SR,82.42,few clouds,5.8833,-55.0833,Hotel Stardust
169,618,Tecolutla,MX,87.66,scattered clouds,20.4833,-97.0167,Hotel Plaza Marsol
170,627,Martapura,ID,75.29,heavy intensity rain,-3.4167,114.85,Montana Hotel Syariah
171,628,Bentiu,SS,78.04,overcast clouds,9.2333,29.8333,Mandela hôtel
172,629,Sao Jose De Ribamar,BR,82.78,overcast clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
173,631,Pajacuaran,MX,78.94,clear sky,20.1167,-102.5667,Hotel California
174,633,Porto Novo,BJ,77.07,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
175,635,Ciudad Bolivar,VE,89.04,overcast clouds,8.1222,-63.5497,Hotel Edi
176,637,Poso,ID,76.37,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
177,642,Ibotirama,BR,78.3,broken clouds,-12.1853,-43.2206,Serra do Rio Hotel
178,651,Phanom Sarakham,TH,80.96,clear sky,13.7479,101.3553,SC Resort
179,656,Bontang,ID,77.04,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
180,657,New Port Richey,US,81.01,broken clouds,28.2442,-82.7193,Quality Inn & Suites Conference Center
181,660,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
182,661,Buala,SB,81.79,light rain,-8.145,159.5921,Maringe Lagoon Lodge
183,666,Ilheus,BR,84.02,clear sky,-14.7889,-39.0494,Pontal Praia Hotel
184,671,Itupiranga,BR,75.52,few clouds,-5.1347,-49.3267,Hotel Panorama
185,677,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
186,681,Atar,MR,75.31,clear sky,20.5169,-13.0499,Oumou Elghoura
187,684,Sabang,ID,80.65,scattered clouds,5.8933,95.3214,Hotel Citra
188,685,Nakhon Si Thammarat,TH,79.05,few clouds,8.25,100.0,ร้านไอซ์โมสีshop
189,687,Humberto De Campos,BR,77.67,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
190,688,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
191,690,Sao Miguel Do Araguaia,BR,76.35,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
192,692,Necochea,AR,84.02,light rain,-38.5473,-58.7368,dyd -mar Hotel
193,695,Pontal Do Parana,BR,83.41,clear sky,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
194,698,Manadhoo,MV,81.27,few clouds,5.7667,73.3833,Bon Abri maldives
