City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,44.26,57,75,25.32,broken clouds
1,Tiznit,MA,29.5833,-9.5,67.64,25,81,6.64,broken clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,80.1,61,0,6.91,clear sky
3,Airai,TL,-8.9266,125.4092,60.66,89,100,2.35,moderate rain
4,Les Escoumins,CA,48.1111,-69.0236,30.76,83,100,12.03,overcast clouds
5,Vila Do Maio,CV,15.1333,-23.2167,72.39,80,1,15.28,clear sky
6,Nikolskoye,RU,59.7035,30.7861,22.89,98,99,1.1,overcast clouds
7,Laguna,US,38.421,-121.4238,62.47,28,0,8.99,clear sky
8,Vaini,TO,-21.2,-175.2,86.16,74,40,5.75,scattered clouds
9,Cape Town,ZA,-33.9258,18.4232,66.11,88,40,3.0,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,78.46,73,100,7.78,overcast clouds
11,Zavetnoye,RU,47.1194,43.8903,34.93,93,100,8.77,overcast clouds
12,Alofi,NU,-19.0595,-169.9187,78.69,78,75,9.22,shower rain
13,Castro,BR,-24.7911,-50.0119,66.94,90,32,5.3,scattered clouds
14,Mehran,IR,33.1222,46.1646,44.08,46,99,3.04,overcast clouds
15,Mungwi,ZM,-10.1732,31.3694,63.5,97,100,4.38,light rain
16,College,US,64.8569,-147.8028,-4.41,76,20,0.0,few clouds
17,Jizan,SA,17.3333,42.6667,77.94,74,16,3.98,few clouds
18,Beloha,MG,-25.1667,45.05,73.24,73,0,16.44,clear sky
19,Moindou,NC,-21.6924,165.677,82.35,72,59,2.01,broken clouds
20,Yarovoye,RU,52.9273,78.58,1.38,100,82,4.34,broken clouds
21,Port Alfred,ZA,-33.5906,26.891,73.98,95,100,7.94,moderate rain
22,Nanortalik,GL,60.1432,-45.2371,6.84,67,29,7.96,scattered clouds
23,Butaritari,KI,3.0707,172.7902,81.73,79,29,17.83,light rain
24,Hamilton,US,39.1834,-84.5333,45.23,95,100,0.0,light rain
25,Bluff,NZ,-46.6,168.3333,58.8,66,100,16.69,overcast clouds
26,Saint-Louis,SN,16.3333,-15.0,80.24,11,68,10.56,broken clouds
27,Uvarovka,RU,55.5278,35.6061,18.99,96,100,5.21,overcast clouds
28,Gigmoto,PH,13.7796,124.39,76.93,89,100,12.62,overcast clouds
